1995.9988	0.0017853474	0.0018518774
1346.0009	0.001795733	0.0010444829
905.99988	0.0018597143	0.00041892781
609.0011	0.0020082763	-3.2796757e-05
410.00079	0.0021719097	-0.00046233172
275.99976	0.0023801527	-0.00084216642
185.99908	0.0026295679	-0.0011601057
128.99982	0.0028915661	-0.0015028229
84.000633	0.0033228549	-0.0019482606
56.999268	0.0038129266	-0.0023869888
38.000286	0.0043710819	-0.0028872723
26.000196	0.0049660332	-0.0034147534
16.998964	0.0057035279	-0.0041542011
12.000091	0.0063962284	-0.0050177444
8.0000601	0.0072629084	-0.006309676
4.9988737	0.0084078796	-0.0084138298
4.00003	0.0090220291	-0.0097421212
2.000015	0.011830153	-0.01579131
1.4994293	0.013650301	-0.019813158
0.99884343	0.017766014	-0.026886379
0.66589564	0.02438556	-0.03632405
0.40046871	0.038982794	-0.048937067
0.28638169	0.053545181	-0.056009956
0.20023435	0.071703039	-0.060029764
0.14202669	0.089416243	-0.059112467
0.095460564	0.10735582	-0.053599589
